station_id,route_id,arsid,sta_ord
121900003,121900012,22227,1
121900005,121900007,22343,1
121900007,121900005,22345,1
121900008,121900006,22267,1
121900011,121900003,22380,1
121900114,121900009,22567,1
100000365,101000005,01037,1
110000380,100100130,11482,1
110000380,100100155,11482,1
100900220,100900004,01617,1
119000022,119900023,20108,1
119000022,119900022,20108,1
122000241,100100246,23345,1
122000241,100100075,23345,1
122000246,100100068,23350,1
111000945,100100387,12478,1
111000945,100100347,12478,1
119000288,119900003,20016,1
119000288,119900002,20016,1
119000288,119900005,20016,1
234000056,113000005,78103,1
213000506,100100313,38067,1
213000506,100100298,38067,1
213000505,100100293,38073,1
219001178,100100437,36350,1
219001178,100100359,36350,1
219001178,100100440,36350,1
219001178,100100511,36350,1
118900195,118900007,19990,1
220000018,121900016,37500,1
235000078,109000002,68131,1
218000974,111000023,35715,1
122000344,100100064,23458,1
122000344,100100500,23458,1
120000452,100100253,21841,1
120000452,100100250,21841,1
118000268,100100094,19359,1
118000268,114000003,19359,1
118000268,100100303,19359,1
116000576,100100538,17775,1
118900002,118900001,19502,1
118900003,118900005,19503,1
118900004,118900004,19504,1
118900110,118900006,19862,1
120000447,100100272,21363,1
123000171,100100218,24261,1
123000171,100100226,24261,1
123000171,100100215,24261,1
122000128,100100247,23231,1
111000060,100100352,12148,1
111000060,112000003,12148,1
111000060,100100117,12148,1
111000060,112000007,12148,1
111000060,100100341,12148,1
111000060,100100116,12148,1
109900006,109900002,10502,1
109900007,109900008,10504,1
109900104,109900007,10505,1
109900114,109900003,10503,1
109900114,109900004,10503,1
111900009,111900006,12792,1
111900057,111900003,12504,1
111900058,111900014,12503,1
111900063,111900007,12554,1
111900111,111900004,12502,1
111900129,111900005,12811,1
111900129,111900011,12811,1
111900129,111900012,12811,1
115900022,115900001,16500,1
115900023,115900007,16498,1
115900080,115900003,16734,1
115900089,115900004,16637,1
121900002,121900001,22100,1
104000096,100100211,05189,1
104000096,100100198,05189,1
104000096,104900004,05189,1
104000097,100100199,05190,1
124000001,100100578,25101,1
124000001,100100591,25101,1
124000001,100100056,25101,1
124000001,104000011,25101,1
104900128,104900001,05511,1
109000406,100100033,10340,1
109000406,100100019,10340,1
109000406,100100592,10340,1
109000406,109000004,10340,1
109000406,100100029,10340,1
109000406,100000024,10340,1
205000233,100100609,49089,1
205000233,100100053,49089,1
205000233,100100052,49089,1
206000245,113000004,47017,1
123000299,100100507,24390,1
108000106,100100137,09194,1
108000106,100100009,09194,1
108000106,100100142,09194,1
110000399,100100010,11502,1
110000399,110000004,11502,1
110000399,100100025,11502,1
111001113,111000010,12470,1
111001113,100100107,12470,1
111001113,111000028,12470,1
106000089,100100048,07183,1
106000089,100100203,07183,1
106000091,100100191,07185,1
106000091,100100204,07185,1
106000092,100100194,07186,1
112000196,100100342,13279,1
112000202,112000005,13285,1
112000202,124000008,13285,1
112000202,100100112,13285,1
112000202,100100338,13285,1
109000002,109000006,10002,1
111001112,111000016,12469,1
111001112,100100525,12469,1
111001112,100100353,12469,1
111001112,100100344,12469,1
111001112,111000014,12469,1
111001112,100100354,12469,1
111001112,123000011,12469,1
111001112,100100111,12469,1
111001112,100100587,12469,1
111001112,123000010,12469,1
111001112,100100103,12469,1
114000124,100100291,15227,1
114000124,100100290,15227,1
