station_id,arsid,station_name,x,y
232000134,62083,선경암입구,126.5468833,37.6754333
232000133,62085,쇄암교회앞,126.5511833,37.6767667
232001197,62217,석정2리,126.57275,37.6789167
232001135,62172,가현교사거리,126.5979333,37.6785667
232000137,35414,대곶사거리(상마리방면),126.5839833,37.6506833
232001022,62035,돌담집,126.5804,37.6399667
232001040,62057,대곶119안전센터,126.5812167,37.6343667
232001042,62063,함배,126.5997,37.6334167
232001044,62065,수안마을,126.59765,37.6346167
232001043,62064,함배,126.5996,37.6334167
232001041,62058,대곶119안전센터,126.5815667,37.6342
232001023,62036,돌담집,126.5804833,37.6399667
232001136,62173,가현교사거리,126.5980333,37.6784667
232001024,62039,대벽2리입구,126.5780667,37.6350167
232001026,62041,대국식당,126.5735667,37.6330333
232001028,62043,안골입구,126.5705333,37.6314
232001030,62045,서울해장국,126.5706,37.6291
232001032,62047,약산,126.5688833,37.6249833
232001034,62051,골말,126.5770667,37.6262167
232001036,62053,전원마을,126.5784,37.6287833
232001038,62055,바리미,126.5787833,37.63145
232001025,62040,대벽2리입구,126.5781333,37.635
232001039,62056,바리미,126.5787333,37.6314333
232001037,62054,전원마을,126.5783667,37.6288333
232001035,62052,골말,126.5770167,37.6262167
232001033,62048,약산,126.56895,37.6249667
232001031,62046,서울해장국,126.5707,37.6291
232001029,62044,안골입구,126.5706,37.6313333
232001027,62042,대국식당,126.5735333,37.6329667
232000331,62168,마송차고지앞,126.5993667,37.6939167
232001061,62103,서암삼거리,126.6018833,37.6972167
232001063,62105,문배주입구,126.5969,37.7010167
232001065,62107,서암5리,126.5974,37.7038
232001067,62109,서암체육공원,126.5979667,37.7057333
232001131,62170,동신텍.서준테크,126.5977333,37.7087167
232001069,62111,고정2리,126.5989667,37.7113167
232001071,62113,고정교회입구,126.59885,37.7142
232001073,62115,삼익프레임,126.5980833,37.7157833
232001075,62117,고정3리,126.5972667,37.7185
232001077,62119,고정1리,126.5954333,37.7221667
232001079,62121,귀전3리,126.6002167,37.7231333
232001081,62123,조강2리,126.5832167,37.74505
232001198,62218,귀전1리경로당,126.6108,37.7203
232001080,62122,귀전3리,126.6002333,37.7232167
232001078,62120,고정1리,126.59535,37.7222833
232001076,62118,고정3리,126.5972,37.7184667
232001074,62116,삼익프레임,126.5980333,37.7157667
232001072,62114,고정교회입구,126.5988,37.7142
232001070,62112,고정2리,126.5988833,37.7113333
